PKID|IDSucursal|IDReporteImpresion|IDNumCpContable|Codigo|Descripcion|Abreviacion|TipoCp|Numero|Serie|LongitudNumero|LongitudSerie|MaximoNumeroItems|PeriodoAnulacion|NumeracionAutomatica|NumeracionContable|RequiereMotivoAnulacion|GenerarNumeracionAlGuardar|PermitirFechasFuturas|PermitirFechasDiferidas|Imprimible|IDTipoComprobantePago|EsComprobantePago|IDImpuesto|TieneImpuesto|PreciosIncImpto|LibroDiario|Tercero|Activo|ResumirEnLibroAuxiliar|PermitirFechasPasadas|PercepcionSinMontoMinimo|IDFormatoImpresionElectronico|IDICB|TieneICB
600004629|300000010|A9343300-5F4C-4DBD-A925-08B1F05619FD|149|0401|GUIA INTERNA SALIDA SUR|GIS|Inventario|2151|0400|7|4|20|1|true|true|false|false|false|false|true|0|false|1|true|true|false|false|true|false|false|false|0|0|false
600004630|300000010|97ADB92A-4AF3-4F34-80BD-56B3884B31FE|155|0402|GUIA INTERNA ENTRADA SUR|GIE|Inventario|0||7|3|20|17|false|true|false|false|false|false|true|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004631|300000010|A9343300-5F4C-4DBD-A925-08B1F05619FD|150|0405|GUIA INTERNA SALIDA SOBRANTES-T SUR|GSS|Inventario|571|43|7|4|20|0|true|true|false|false|false|false|true|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004632|300000010|AEB62C1F-8D25-42CC-A1F9-E69525C26835|173|0400|GUIA INTERNA DE TRANSFERENCIA SUR|GIT|Inventario|904|41|7|4|20|1|true|true|false|false|false|false|true|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004633|300000010|009C6534-F914-4A12-B245-1857725D127A|171|04CTB|04COMPROBANTES DE TRANSFERENCIA BANCOS|04CTB|Caja|0||4|3|7|19|false|true|false|false|false|false|true|0|false|0|false|false|false|false|true|false|true|false|0|0|false
600004634|300000010|92289064-28CB-4205-8655-0C16C7C0208D|0|04CTP|04COMPROBANTE TRANSFERENCIA FINANCIERA|04CTP|Caja|0||7|3|10|1|false|false|false|false|false|false|true|0|false|0|false|false|false|false|true|false|false|false|0|0|false
600004635|300000010|92289064-28CB-4205-8655-0C16C7C0208D|172|04CT|04COMPROBANTE DE TRANSFERENCIA|04CT|Caja|10100|41|7|3|15|12|true|true|false|false|false|false|true|0|false|0|false|false|false|false|true|false|true|false|0|0|false
600004636|300000010|37A8797F-D94E-47CC-9ED2-19F729EA8BB5|139|04CD|04COMPROBANTE DETRACCION|04CD|Caja|0||7|3|20|0|false|true|false|false|false|false|true|0|false|0|false|false|false|false|false|false|false|false|0|0|false
600004637|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|0|04REC|Recibo de entrada a caja Sur|04REC|Caja|191949|40|7|3|20|12|true|false|false|true|false|false|true|28|true|0|false|false|false|false|true|false|true|false|0|0|false
600004638|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|153|04RECP|Recibo de entrada a caja Planilla Sur|04RECP|Caja|20658|42|5|3|2000|1|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004639|300000010|AD7AFBFE-4A4D-4C1F-89B0-03582C078A05|143|04REB|04RECIBO ENTRABA BANCOS|04REB|Caja|2|43|7|3|60|25|true|true|false|true|false|false|true|28|true|0|false|false|false|false|false|false|true|false|0|0|false
600004640|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|146|04REM|Recibo de entrada Manual Sur|04REM|Caja|0||7|3|20|1|false|true|false|false|false|false|true|28|true|0|false|false|false|false|true|false|true|false|0|0|false
600004641|300000010|37A8797F-D94E-47CC-9ED2-19F729EA8BB5|164|04RSB|04RECIBO SALIDA BANCOS|04RSB|Caja|3|44|7|3|200|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|false|false|false|false|0|0|false
600004642|300000010|37A8797F-D94E-47CC-9ED2-19F729EA8BB5|164|04RSB|04RECIBO SALIDA BANCOS|04RSB|Caja|10|45|7|3|200|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|false|false|false|false|0|0|false
600004643|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|165|04RSC|Recibo de salida de caja Sur|04RSC|Caja|8236|47|7|3|20|13|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|true|false|0|0|false
600004644|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|142|02RSEP|Recibo de Salida Egresos Planilla Sur|04RSEP|Caja|1|48|5|3|20|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004645|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|168|04RSFP|Recibo de Salida Faltante Personal Sur|04RSFP|Caja|3132|49|7|3|100|19|true|true|false|false|false|false|true|28|true|0|false|false|false|false|true|false|true|false|0|0|false
600004646|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|167|04RSM|04RECIBO SALIDA MANUAL|04RSM|Caja|0||7|3|200|5|false|true|false|false|false|false|true|28|true|0|false|false|false|false|false|false|true|false|0|0|false
600004647|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|144|04RED|Recibo Entrada DESCUENTOS Sur|04RED|Caja|5|46|8|3|50|1|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004648|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|145|04REFP|Recibo de entrada Faltante Personal Sur|04REFP|Caja|3|400|7|3|10|13|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|true|false|0|0|false
600004649|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|166|04RSD|Recibo Salida DESCUENTOS Sur|04RSD|Caja|12|401|8|4|20|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004650|300000010|A4773203-9250-4B72-BB34-0CA20C5B7E4D|169|04RST|04RECIBO SALIDA TESORERIA|04RST|Caja|1|402|6|3|20|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|false|false|true|false|0|0|false
600004651|300000010|0|0|04LC|04LIQUIDACION DE CAJA|04LC|LiquidacionCaja|5380|40|7|3|0|1|true|false|false|true|true|true|false|0|false|0|false|false|false|false|true|false|false|false||0|false
600004652|300000010|0|0|04CMPC|04CONFIRMACION/RECHAZO MEDIO PAGO TERCEROS|04CMPC|ConfirmacionMedioDePago|1|40|7|3|10|50|true|false|false|true|true|true|false|0|false|0|false|false|false|true|true|false|true|false||0|false
600004653|300000010|44FA713D-FFCA-4FAD-96E6-4967CAE91400|152|CR04|04RETENCION ELECTRONICA SUR|R400|Retencion|1|R400|7|4|20|0|true|true|true|false|false|false|true|18|true|0|false|false|false|false|false|false|false|false||0|false
600004654|300000010|0|0|04CMPP|04CONFIRMACION/RECHAZO MEDIO PAGO PROV.|04CMPP|ConfirmacionMedioDePago|1|41|7|3|10|10|true|false|false|false|true|true|false|0|false|0|false|false|false|false|true|false|true|false||0|false
600004655|300000010|8C2215B9-CEEA-4E1C-A1C0-9AD4AF1A975C|159|CP04|04PERCEPCION ELECTRONICA|P004|Percepcion|19|P004|7|4|15|90|true|true|false|false|false|false|true|35|true|0|false|false|false|false|false|false|true|false|0|0|false
600004657|300000010|7CB43AF7-85D1-48EB-8F35-5E2CFFBA8772|138|01|04FACTURA DE COMPRAS SUR|04FC|Compra|0||7|3|300|120|false|true|false|false|false|true|true|1|true|1|true|true|false|false|true|false|true|false|0|0|false
600004658|300000010|0|175|12|04TICKET SUR|04TC|Compra|0||7|3|50|10|false|true|false|false|false|true|false|33|true|1|true|true|false|false|true|false|true|false||0|false
600004659|300000010|0A0849DE-001F-4307-91D1-32F51206D5E6|137|03|04BOLETA DE COMPRAS SUR|04BC|Compra|0||7|3|80|30|false|true|false|false|false|true|true|4|true|1|true|true|false|false|true|false|true|false||0|false
600004660|300000010|0|135|03|04BOLETA GASTOS SUR|04BG|Compra|0||7|3|50|30|false|true|false|false|false|true|false|4|true|1|true|true|false|false|true|false|true|false||0|false
600004661|300000010|0|170|14|04RECIBO GASTOS(AGUA, LUZ, EQUI) SUR|04RG|Compra|0||7|3|5|60|false|true|false|false|false|true|false|12|true|1|true|true|false|false|true|false|true|false||0|false
600004662|300000010|0|140|13|04DEB, INSTITUCIONES FINANCIERAS SUR|04DEB|Compra|0||7|3|50|10|false|true|false|false|false|true|false|11|true|1|true|true|false|false|true|false|true|false||0|false
600004663|300000010|0|141|37|04REVISION TECNICA VEHICULAR SUR|04RTV|Compra|0||7|3|50|10|false|true|false|false|false|true|false|22|true|1|true|true|false|false|true|false|true|false||0|false
600004664|300000010|0|0|P04OF|PEDIDO 04OF|P04OF|Pedido|9949|OF04|7|4|600|500|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004665|300000010|0|0|P04SUP|PEDIDO 04SUP|P04SUP|Pedido|1168|04SUP01|7|7|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004666|300000010|0|0|P04T|PEDIDO 04T|P04T|Pedido|1169|T04|7|3|600|1|true|false|false|true|true|false|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004667|300000010|0|0|01CCS|CONSOLIDADO DE CARGA S01|01CCS|ConsolidadoCarga|30548|04|7|2|30|30|true|false|false|true|false|false|false|0|false|0|false|false|false|false|true|false|true|false||0|false
600004668|300000010|0|0|02CCS|CONSOLIDADO DE CARGA S02|02CCS|ConsolidadoCarga|423|02|7|3|30|30|true|false|false|true|false|false|false|0|false|0|false|false|false|false|true|false|true|false||0|false
600004669|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|4|00RSC|00RECIBO SALIDA CAJA CONTABLE|00RSC|Caja|1860|111|7|3|20|30|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|true|false|0|0|false
600004671|300000010|7B34D9C8-1568-409C-BA9C-C400AE2E27B8|0|OCP004|ORDEN COMPRA SUR|OCP004|OrdenCompra|8275|4|7|3|60|300|true|false|false|true|true|true|true|0|false|1|true|false|false|false|true|false|true|false|0|0|false
600004672|300000010|0|0|OI004|ORDEN IMPORTACIÓN - SUR|OI004|OrdenCompra|1|OI04|7|4|100|30|true|false|false|true|true|true|false|0|false|0|false|false|false|false|true|false|false|false|0|0|false
600004673|300000010|0|0|CNC04|Control Nota Crédito SUR|CNC04|OrdenCompra|4340|CNC04|7|5|100|300|true|false|false|true|true|false|false|0|false|1|true|false|false|false|true|false|true|false||0|false
600004674|300000010|7CB43AF7-85D1-48EB-8F35-5E2CFFBA8772|133|01|04FACTURA TRASLADO GRATUITO|04FTG|Compra|0||7|3|300|40|false|true|false|false|false|true|true|1|true|1|true|true|false|false|true|false|true|false|0|0|false
600004676|1|0|0|P01VV01|PEDIDO 01VV01|P01VV01|Pedido|1173|01VV01|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false||0|false
600004677|1|0|0|P01TB01|PEDIDO 01TB01|P01TB01|Pedido|3579|01TB01|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004678|1|0|0|P01TB02|PEDIDO 01TB02|P01TB02|Pedido|3050|01TB02|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004679|1|0|0|P01TB03|PEDIDO 01TB03|P01TB03|Pedido|3460|01TB03|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004680|1|0|0|P01TB04|PEDIDO 01TB04|P01TB04|Pedido|3364|01TB04|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false||0|false
600004681|1|0|0|P01TB05|PEDIDO 01TB05|P01TB05|Pedido|3543|01TB05|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004682|1|0|0|P01TB06|PEDIDO 01TB06|P01TB06|Pedido|2997|01TB06|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false||0|false
600004683|1|0|0|P01TB07|PEDIDO 01TB07|P01TB07|Pedido|3150|01TB07|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004684|1|0|0|P01TB08|PEDIDO 01TB08|P01TB08|Pedido|3168|01TB08|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004685|1|0|0|P01TB09|PEDIDO 01TB09|P01TB09|Pedido|3221|01TB09|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004687|300000010|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRONICA FN50 (FACT)|FN50|NotaCredito|34|FN50|8|4|20|0|true|false|true|true|true|false|true|6|true|1|true|true|false|false|false|false|false|false||0|false
600004691|300000010|0|157|07|Notas de credito obtenidas Vega Sur|04NC 4|NotaCredito|0||7|3|150|60|false|true|false|false|false|true|false|6|true|1|true|true|false|true|true|false|true|false|0|0|false
600004692|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|5|0101|01Recibo de entrada a caja NORTE FVA|0101|Caja|871583|0101|8|4|30|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004693|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|5|0102|01Recibo de entrada a caja NORTE FVB|0102|Caja|890072|0102|8|4|30|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004694|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|5|0103|01Recibo de entrada a caja NORTE FVD|0103|Caja|133614|0103|8|4|30|1|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004695|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|5|0104|01Recibo de entrada a caja NORTE FVE|0104|Caja|20950|0104|8|4|30|1|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004696|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|5|0105|01Recibo de entrada a caja NORTE MDOS|0105|Caja|28247|0104|8|4|30|1|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004697|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|5|0106|01Recibo de entrada a caja NORTE MAY|0106|Caja|62864|0106|8|4|30|1|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
600004698|1|0|0|P01TB10|PEDIDO 01TB10|P01TB10|Pedido|2934|01TB10|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004699|1|0|0|P01TB11|PEDIDO 01TB11|P01TB11|Pedido|2721|01TB11|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false|0|0|false
600004700|1|0|0|P01TB12|PEDIDO 01TB12|P01TB12|Pedido|2572|01TB12|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false||0|false
600004701|1|0|0|P01TB13|PEDIDO 01TB13|P01TB13|Pedido|2413|01TB13|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false||0|false
600004702|1|0|0|P01TB14|PEDIDO 01TB14|P01TB14|Pedido|2773|01TB14|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|true|false||0|false
600004704|300000004|ADEB1BC8-D134-4FE3-B887-103C977BA71A|0|03|BOLETA ELECTRONICA BC01 (CARNET)|BC01|Venta|260|BC01|8|4|10|0|true|false|true|true|true|false|true|4|true|1|true|true|false|false|true|false|false|false|0|0|false
